client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gender,num_accounts,balance,calls_6_mnth,logons_6_mnth,age_group,tenure_group
5511653,25.0,305.0,63.5,M,2.0,3902950.39,5.0,8.0,older,long stand
426756,26.0,322.0,53.0,F,3.0,3878836.33,2.0,5.0,older,long stand
7225964,23.0,276.0,64.5,M,5.0,3834819.11,7.0,7.0,older,long stand
8337723,29.0,357.0,61.5,M,4.0,3793339.35,5.0,8.0,older,long stand
9245820,20.0,240.0,67.5,M,3.0,3757751.57,6.0,9.0,older,mid stand
1987005,20.0,240.0,41.5,F,3.0,3736556.05,5.0,8.0,adulthood,mid stand
9194684,28.0,342.0,45.5,M,2.0,3733367.1,7.0,7.0,adulthood,long stand
4051804,26.0,322.0,47.5,M,3.0,3722386.06,6.0,9.0,adulthood,long stand
8825788,28.0,336.0,81.5,U,3.0,3718908.15,6.0,9.0,older,long stand
1556389,14.0,174.0,48.0,F,2.0,3702970.05,0.0,5.0,adulthood,mid stand
6434122,15.0,187.0,69.0,U,3.0,3694377.4,7.0,7.0,older,mid stand
2686458,23.0,280.0,60.5,M,3.0,3647710.43,0.0,4.0,older,long stand
4848547,29.0,353.0,70.0,M,4.0,3641889.26,6.0,9.0,older,long stand
168267,13.0,162.0,63.0,M,3.0,3617156.74,7.0,7.0,older,mid stand
2429823,15.0,181.0,60.5,M,2.0,3609820.84,7.0,7.0,older,mid stand
4256611,24.0,292.0,51.5,M,3.0,3592350.6,6.0,9.0,older,long stand
9545139,21.0,261.0,51.5,M,4.0,3577649.07,6.0,9.0,older,long stand
2643498,34.0,408.0,58.5,F,3.0,3574882.5,3.0,4.0,older,long stand
6022010,6.0,78.0,32.5,U,4.0,3569381.23,1.0,4.0,adulthood,new
7927402,7.0,84.0,50.0,U,3.0,3558899.76,6.0,9.0,adulthood,new
2053174,18.0,224.0,48.5,M,3.0,3553298.1,6.0,9.0,adulthood,mid stand
9226597,31.0,381.0,67.0,M,3.0,3552737.22,6.0,9.0,older,long stand
8244716,28.0,346.0,73.5,M,3.0,3544460.02,6.0,9.0,older,long stand
3294129,22.0,275.0,65.5,F,5.0,3521989.41,4.0,7.0,older,long stand
4767794,22.0,272.0,46.0,M,2.0,3494732.32,5.0,8.0,adulthood,long stand
3612499,22.0,275.0,59.0,M,2.0,3490121.2,4.0,7.0,older,long stand
2781315,27.0,331.0,64.5,M,3.0,3481206.88,3.0,3.0,older,long stand
3864477,28.0,336.0,80.0,M,5.0,3476006.84,6.0,9.0,older,long stand
4812426,17.0,206.0,60.5,M,3.0,3463930.58,7.0,7.0,older,mid stand
4365422,27.0,327.0,50.0,F,3.0,3459338.21,3.0,6.0,adulthood,long stand
6550009,32.0,394.0,68.0,M,3.0,3457298.27,4.0,8.0,older,long stand
1177276,20.0,244.0,61.0,U,5.0,3450821.16,6.0,9.0,older,mid stand
5469951,17.0,204.0,35.0,M,2.0,3447091.3,7.0,7.0,adulthood,mid stand
9499259,15.0,185.0,64.5,M,2.0,3428511.36,5.0,8.0,older,mid stand
3862559,25.0,304.0,73.5,M,4.0,3394204.29,6.0,9.0,older,long stand
3104377,34.0,417.0,63.0,F,3.0,3377435.0,5.0,8.0,older,long stand
4170232,35.0,430.0,70.5,M,4.0,3354141.15,6.0,9.0,older,long stand
2579616,31.0,379.0,60.0,M,4.0,3351539.77,2.0,5.0,older,long stand
8115034,29.0,350.0,76.5,M,3.0,3301237.67,2.0,6.0,older,long stand
4311537,9.0,119.0,69.5,M,3.0,3244645.61,7.0,7.0,older,new
5743376,40.0,485.0,66.5,M,3.0,3228350.47,6.0,9.0,older,long stand
5986644,18.0,216.0,74.0,M,4.0,3220673.11,6.0,9.0,older,mid stand
7918624,5.0,70.0,51.0,M,2.0,3210120.39,7.0,7.0,older,new
9893446,29.0,353.0,65.0,M,3.0,3193269.83,6.0,9.0,older,long stand
2976295,22.0,267.0,49.5,M,3.0,3191837.41,7.0,7.0,adulthood,long stand
4473931,27.0,335.0,65.5,F,3.0,3191769.31,3.0,7.0,older,long stand
8286876,27.0,327.0,57.5,F,3.0,3189564.5,6.0,9.0,older,long stand
4193650,28.0,340.0,43.5,M,3.0,3171343.45,6.0,9.0,adulthood,long stand
